commentaires,notes
die hard apple person desktop computers home apple family members iphones laptops apple not really sure decided try samsung galaxy happy far using  year old iphone figured would huge upgrade modern world still takes little getting used coming ios system's way things lose capability imessage facetime not huge deal use duo app google facetime key points large beautiful screen looks great like haptic feel keys texting feel keys pressed little buzzvibration think new iphone again i'm coming two choices new keep apple get iphone would cost applecare warranty got samsung and got ultimate play bundle bundle took square trade year warranty deductible need use it used square trade warranties past products always replaced stood guarantee square trade owned allstate confidence them getting back phone seems work fast loading apps pages use lot wireless products home nest thermostat wireless cameras lifx lights liftmaster garage door opener work fast flawlessly audio playing music sounds great plays loud clear phone like fact still earphone jack like android system comes google assistant voice command people hate bixby feature phone real gripe large button left side trying adjust volume accidentally hit bixby sometimes like though i's voice activated get car morning speak wake bixby command open whatever app need usually waze open speak waze take work without look phones screen take eyes road also bixby camera function cool too different things camera like point camera lens sign foreign language live translate sign english language and plenty phone point food tell average calorie count point wine bottle label give information wine type year etc thing think never use course tried animoji friends scary weird everyone looks this would personally like see update fix type look realistic looking online days comparisons pictures taken compared others mot notably iphone opinion lot pix better contrast usually better real advantage tends overexpose bit so dark scenes look bit brighter iphone thing get used colors samsung oversaturated colors bright setting display function gives options view turned one looks lot realistic like fact phone well iphone features ability record video fps looks great samsung though optical stabilization doesn't work shooting fps keep steady hand isn't issue video formats stabilization samsung works better all happy went samsung months regret it always keep months sell get new larger iphone plusupdate  voice unlock code terrible and searching options came conclusion don't need it face unlock fingerprint reader back actually back fingerprint scan unlock methods quick easy use battery life good far using weeks now one thing find annoying didn't know would problem video picture quality someone sends large video via texting whether send video send one becomes low quality almost hard see all compression carriers use send video's large picture files doesn't take much space used iphone using imessage send size video someone else iphone great quality sides text not android not samsung android phones so now send videos via whatsapp viber or number text apps compress not horribly oh one note hope samsung corp reading review samsung customer service reps stupidest people ever dealt tech company used think comcast bad called couple times speak someone samsung repeat question tell understand feel offering absolutely answers put hold find come back resolve terrible customer service degrees dealing someone applecare question iphone imac computernd update didn't realize important know purchasing fact i'm att network people factory store didn't know this sales people best buy department not know either buy unlocked galaxy s however want buy thru att network not factory unlocked phone different options it meaning unlocked not have wifi calling option audio option vvm video voice messaging not get video voice calling option features not even phone now buy att pay front plan either way factory unlocked phone pay  more paying full price front get att unlocked features nowhere best buy att store tell this mind great misrepresentation omitted purchasing picked bundle package amazon  got lot cool gadgets i'm keeping setup want others know difference buying unlocked version price feature set get figured att version bunch proprietary apps preinstalled hope helps someone beforehand really wants features and went att store figuring way could flash options phone isn't cannot update get optionsrd update april th discovered great feature today wish galaxy phones rise wake feature iphone x has pick look unlock via face good go discovered setting google assistant open galaxy even locked screen via voice unlocks ask google assistant do love feature immenselyth update april as play around phone learning cool things do instance factory come preset whether swipe app tray need repetition swiping either down setting swipe opens app tray as come samsung preset change setting swipe place got phones popular settings front you even better swipe using two fingers top screen opens second part settings control functions usually two part deal makes one step easier also one thing samsung addressed   using oreo software problem people using phones prior used hate now set updown volume buttons control media volume matter viewing and want control ringtone another type volume push volume media volume shows tap arrow top left screen others ready adjust exactly like them apparently reading online annoyance problem long time galaxy phones solved,5.0 out of 5 stars
box received didn't it instead cheap plastic case also box seal could tampered point watched unboxing videos phone there's supposed sticker seal break open box reviews sounds like customers received empty boxes dummy phonescustomer service processing replacement hopefully goes alright i'll update review info replacement,1.0 out of 5 stars
arrived excited use boom not work unlocked say really isn't customer service stinks no help want money back,1.0 out of 5 stars
mine stopped working days working sudden e colors black screen disappointing,1.0 out of 5 stars
arguably best smartphone i've ever purchased works great plenty great features great camerai real problems switching sim card old sso give stars well find bixby little value accidentally press button times also facebook permanently installed can disabled however according router wifi network communications facebook unknown sourceapp cause,4.0 out of 5 stars
great problems thing need clear clear got not sealed took get actived told used everything seems box works fine need let ppl know phones opened,4.0 out of 5 stars
metropcs initially issues getting added account woke next morning working fine so anyone wondering work metropcstmobile network usa i'm st louis,5.0 out of 5 stars
bought instead buying directly samsung big mistake save trouble buy samsung directly,1.0 out of 5 stars
ordered unlocked singlesim usa version smgu compatible usa carriers model number stamped exterior label box however inside box cheaper dualsim international smgfds won't work verizon sprint cdma bandsi ordered amazon price discounted turned disappointing experience waste time buy cell phones person authorized distributor make sure get paying for,1.0 out of 5 stars
i'm not sure actually isn't good thought would be i'm thinking upgraded absolutely love it order one though lot trouble voice text actually texting really hard general too made kind bummer play around use voice command lot decided return got refund thankful able get least that's reason rated stars instead two,3.0 out of 5 stars
takes good pictures bad doesnt want charge amazon wants charge dollars refund garbage garbage insurance purchased wants dollars replace shoddy productim broke moment currently missing interview second job wont charge missed going bank taken seconds replace shoddy product sold one wealthiest companies world turned taking entire afternoon evening fixstay away garbage company amazon buying phones second row amazon scam,1.0 out of 5 stars
purchased months ago extremely excited try out arrived perfectly parts pieces supposed come first two months completely satisfied purchase i'd also took measures purchased heavy duty case screen protector make sure puppy lasted while however two months in started unexpectedly freezing battery life starting decline rapidly used  available took time clean storage unnecessary files anyways hopes phone's behavior would improve surprise performance rapidly declining days not long got point screen would randomly turn not turn back on would vibrate like would i'd press home button screen would not light up would multiple times day would manually soft reset every single time reached samsung support not able receive help answers them point day warranty already expired amazon would longer able exchange me wish spent dollars extra make sure received reliable phone unsatisfied,1.0 out of 5 stars
ordered device replace older edge whose battery expanded took back expanded three years old well beyond warrantyi hope battery won't way didenabling verizon network involved swapping sim card devices confused bit understanding would register devices exchange verizon website happened automatically installing old sim card new phonethe device came android oreo february installed needed couple patch updates also came charged the smaller screen bit lighter much responsive s edge could also new android isn't bloated although data apps moved over transferring data settings snap used samsung utility usb cable adapter thisgood experience far get going something happens i'll back amend review excellent experience far amazon's handling it,4.0 out of 5 stars
really good phone neat featuresthe speaker not working two weeks,2.0 out of 5 stars
took verizon store told incompatible network don't waste time verizon,1.0 out of 5 stars
battery life shorter new phone fine description misleading us warranty stated title void reselling used phone also states accessories may cosmetic damage false well original items completely replaced generic headphones power cord not receive promised unless buy new phone do return item still waiting refund,1.0 out of 5 stars
bought could used cdma sim cards both planned using verizon home wanted able purchase sim cards use travel internationally appears att unlocked also used tmobile presumably sim cards wasted week's time tried couple different sim cards couple different carriers purchased new sim card done this not believe qa section says used carriers absolutely cannot returning this,1.0 out of 5 stars
upgraded samsung samsung s i'm happy decided get edition offers lot extra features value addition higher quality components screen size resolution got gb stock there's expandable memory bay allows add storagerating,5.0 out of 5 stars
upset right receive box inside box ,1.0 out of 5 stars
clear mine arrived defective problem started intermittent got worse people couldn't hear speakerphone sometimes handset mode too long call tech support months in ended hardresetting phone problem seemed away didn't really dropped getting functional barely visible crack eventually confronted problem again calling tech support mentioned crack said would not impede repair warranty instructed brought ufixibreak told drop voided warranty parts would replace broken part without also screen even though didn't need done cost not zero when korean car gets rearended automatically void warranty engine partsi livid definitely won't buy samsung again,1.0 out of 5 stars
read reviews decided amazon shipped version amazon guarantee lot reviews said would not work verizon voicemail wireless calling not going work well comments obviously people didn't investigate thoroughly wireless calling works fine voicemail works fine works verizon discovered need purchase putting verizon sure register account samsung galaxy store right update apps do give samsung essentials visual voicemail like verizon's blue icon instead red works same go settings turn wireless calling might take couple tries come on work live completely shielded home verizon's signal not penetrate walls roof works perfectly wireless far getting connected verizon goes take sim card old put new phone get new sim card verizon size difference verizon register new sim old phone put new phone phones approved verizon's list phones system not recognize imei number says not compatible won't let stores customer service reps scan system put old sim new works perfectly called store told get around system not recognizing imei numbers validthe unlocked best ever had totally happy purchase,5.0 out of 5 stars
like one died working great exchange slow especially need phone still got replacement,4.0 out of 5 stars
bought two kids went sprint store get activated switched old phones needed sim card installed bucks big deal there s's upgrades note not use sim cardsthey use weeks not heard complaints look nice battery seems last day fully chargedbuying amazon means reupping sprint contract good prefer minimize commitments contract,5.0 out of 5 stars
i've wanting samsung series since finally bit bullet bought factory unlocked couldn't happier phone minor minor things hardly worth mentioning bug me not emoji search function see not even worth mentioning omg i'm love thing i'm officially convert worth every penny make sure factory unlocked otherwise won't able update osphone came beautifully packaged brand new charger headphones,5.0 out of 5 stars
first time buying unlocked online feel like got bargained for super amoled screen hands one best seen smartphone enjoying much goes speakersin addition that got pixelize phone download tons apps files say not suffered infamous samsung lag slow one point samsung function test diagnose optimize plan taking advantage futurei'm also satisfied battery i'm heavy user far lasting full day whereas previous needed charged twice per dayas camera yet fully test capable of i've taken low light pictures quite impressed nice lookedall great definitely worthy purchase,5.0 out of 5 stars
not compatible sprint network spent half day different sprint stores attempt activate phone also purchased otterbox case screen protector losing becuase seller charging return,1.0 out of 5 stars
several reviews said unlocked would fine boost mobile took boost store lady behind counter really nice tried tried could not get work boost even though boost sells exact phone hmm nice gimmick boost say sprint compatible boost owned sprint phones run sprint network so gives boost,1.0 out of 5 stars
beeps shuts broken,1.0 out of 5 stars
everything great phone one thing touch apparently known issue splus horrible touch sensitivity issues can't type two words without wanting throw across room every app even screen pattern unlock makes want throw cry hate buy year black friday got next day less weeks later want money back wait come out,1.0 out of 5 stars
box received didn't it seems happened people bought product looking reviews box cheap plastic case accessory anything,1.0 out of 5 stars
used buy cheaper moto phones i'm glad finally bought something decent display impressive bar top appealing eye notch iphone xs pixel camera really good takes impressive shots get full day battery using mix maps camera streaming music normally day inclusion wired akg head phones nice headphone port means compatibility range portable amplifiers don't get isn't phones not really limits choice headphones dacamp comb sound quality good onboard dacamp don't know driving thing larger ears bixby ok tend use googles assistant need to card slot nice allows easy upgrade storage easily pull images want work using mac mess around bluetooth file transfer,5.0 out of 5 stars
great screen fast processor beautiful phone camera amazing must say years iphone fan kicks old iphone's rear love functionality smart design flexibility almost half price iphone took two weeks get used android much useful monobutton overcontrolling ios great great operating system convert,5.0 out of 5 stars
would give stars gave case that wonderful device actually little disappointed size expecting taller little bit wider got use far use sansung used widescreen love new phone finally use wifi,4.0 out of 5 stars
att branded phones wifi calling visual voicemail att not get unlocked phones att eventually regret many features att keeps phones,3.0 out of 5 stars
issues unlocked model smgu hardware received perfectly fine fact probably beautiful i've ever laid eyes damn shame going returning one bought mine electronics amazing price however would gladly paid issues i've received numerous error messages quirks lead believe region locked incompatible firmwaresoftware update one first things tried downloading updates it navigate settings software update download updates manually displays registering device processing failedsamsung pay try open says access smasung pay denied unauthorized modifications made device means somehow knox counter tripped device supposedly detects someone roots it next time tried open says samsung pay not supported device samsungregion experiencing quirks went settings discovered region set united arab emirates would be product even said united state warranty descriptionbixby swipe left bixby home scrolling news cards newsroom youtube yahoo etc display headlines chinese take chinese websites language set english bixby settingssamsung experiencing much slower youtube speeds mobile data previous active downloaded samsung speed test navigate samsung diagnostic tools connection speed test mobile start speed test  says connected att lte network displays ping reading seconds says test cancelledsamsung smart switch samsung smart switch not recognize device saying incompatibleall theses quirks lead beleive something seriously defective incompatible version phone can't download software updates can't connect smart switch pc serious anxiety purchase warn anyone buying expensive item third party seller put returnrefund request electronics not heard back yet update contact me,2.0 out of 5 stars
android person please undoubtedly favorite feature camera despise dedicated bixby button left side beneath volume heard customize make whatever want instead bixby i'm going look that's pet peeve phone,4.0 out of 5 stars
purely impressed amazing piece hardware samsung  excels things hardware related exception not single element hardware screen battery size ports camera hardware specifications resilience forth isn't outstanding paper action added customization openness versatility android welcomed compared apple's iosthe added versatility unlocked version nice carrier switch something sort possible may inhibit certain carrier exclusive features depending carrier like digital voicemailmy minor complaint samsung apps software features bloatware crammed semiforces use lot seems like sales pitch rather adding value cough bixby button cough feel samsung's weakpoint mobile offerings momentas aside first android phone iphones decided switch galaxy android not liking direction apple going flagship phones plus cutting edge features combined sensible design choices headphone jack touch recognition compelled switchsides  months later time review i'm still completely satisfied galaxy,5.0 out of 5 stars
upgraded i'm pretty familiar although changes loved love although don't like larger size issue order received black plus not coral blue not big deal since it'll case heart set particular color make sure that's they're sending you,5.0 out of 5 stars
weeks now part love it huge upgrade much faster previous however i'm not big fan curved edges little hesitant purchase due reviews saying missing box glad did cheapest unlocked found nothing missing included fast charge cable block ear buds sets different size tips sim card removal key female usb male usb adapter transfer data old new one update longer right i'm happy customer,5.0 out of 5 stars
beautiful phone smooth operator fast slick literally figuratively fantastically marvelous piece techi returned wretched little bixby button directly opposite power button squeezing power invariably reactivate bixby disabled per intructionsit could great phoneyes technically disable button sign samsung account change settings bixby sorry samsung don't want activities reporting mothership,2.0 out of 5 stars
best decision ever buy phone came original box accessories turn worked perfectly metro pcs carrier try put old sim card didn’t work went metro pcs store register get new sim card got keep old number store like minutes awesome buy,5.0 out of 5 stars
great phone moved verizon sim card old one connected immediately worries,5.0 out of 5 stars
teléfono es originalsonido escucha con lluviamuy mala experienciathe not original sound heard rain bad experience,1.0 out of 5 stars
continues blow away even couple days not fingerprint eye recognition heart rate monitor amazingly fast gets great signal reception let's not mention camera slow motion i'll sayi hope lasts years like galaxy mega didcontrary reviews receive brand new one sealed box zero issues getting put service girl cell store thrilled easy wellthe headphones earbuds came awesome well kind like giant speakers head sound qualityi couldn't much happier phone great device,5.0 out of 5 stars
