notes,commentaires
1.0 out of 5 stars,got phone previous owner's information still phone bad enough now months crashed completely dead even though appears completely fine hasn't dropped hasn't wet verizon employees said done unless seller follows something changes recommendation avoid them
1.0 out of 5 stars,got phone previous owner's information still phone bad enough now months crashed completely dead even though appears completely fine hasn't dropped hasn't wet verizon employees said done unless seller follows something changes recommendation avoid them
2.0 out of 5 stars,bewarephone aesthetically looks greatcharge port looseunable get rid software update notification run update still keeps coming back every time tried factory reset didn't fix problembattery life bad complete discharge within normal conditions very little usage am am pm not possible replace battery since integrated battery devicecalled customer service issue refund replacement without new one arrives received defective onei verizon get micro sim had cut old one fit nano sim slot old device send one back without phoneunfortunate experience overall
5.0 out of 5 stars,skeptical ordering assured would work verizon verizon logo back hardest part getting sim card cause older drive hour verizon corporate store busy weekend husband loves it it’s first smart phone no complaints far questions answered quickly fast shippingdef recommend seller product
5.0 out of 5 stars,cell available number different sellers mixed reviews across board almost pricing opted dealfisher pleased entire order process see seller review separately far goes little bit hesitant going refurbished unit almost cheaper purchasing new verizon i'm glad took chance nontechnical examination brand new not scratch rub mark discernible indication ever used before not come sim card memory card clearly indicated product description not know galaxy replacing micro sim card galaxy the new phone nano sim card not same that's bad news good news local verizon store not authorized vendor real verizon store installed new nano card couple minutes then since weren't busy cross loaded contents old newat cost can't get better that way memory card phones hope get great results did cheersed
5.0 out of 5 stars,looks acts like absolute brand new condition came legitimate samsung fast charger usb converter store information set really nice samsung earbuds thing doesn't scream brand new came plain white box cost less new
1.0 out of 5 stars,missing verizon voicemail app spoiler alert can't add it according verizon support something added first configured also per verizon say means not really verizon phone work verizon network ultimately means can't tell voicemail many voicemails have left dial voicemail number listen message entirety check info voicemail get info it someone lives life go would disclosed product description would picked another phone
1.0 out of 5 stars,certified samsung refurbished many problems box aftermarket accessories charged hot screen light section jiggled black colors green speaker cut out mobile reception strength started half previous decreased near zero would rate refurbish poor quality give less star
1.0 out of 5 stars,not truly unlocked went several carriers none able activate phone sending back
5.0 out of 5 stars,cell available number different sellers mixed reviews across board almost pricing opted dealfisher pleased entire order process see seller review separately far goes little bit hesitant going refurbished unit almost cheaper purchasing new verizon i'm glad took chance nontechnical examination brand new not scratch rub mark discernible indication ever used before not come sim card memory card clearly indicated product description not know galaxy replacing micro sim card galaxy the new phone nano sim card not same that's bad news good news local verizon store not authorized vendor real verizon store installed new nano card couple minutes then since weren't busy cross loaded contents old newat cost can't get better that way memory card phones hope get great results did cheersed
5.0 out of 5 stars,looks acts like absolute brand new condition came legitimate samsung fast charger usb converter store information set really nice samsung earbuds thing doesn't scream brand new came plain white box cost less new
1.0 out of 5 stars,missing verizon voicemail app spoiler alert can't add it according verizon support something added first configured also per verizon say means not really verizon phone work verizon network ultimately means can't tell voicemail many voicemails have left dial voicemail number listen message entirety check info voicemail get info it someone lives life go would disclosed product description would picked another phone
1.0 out of 5 stars,certified samsung refurbished many problems box aftermarket accessories charged hot screen light section jiggled black colors green speaker cut out mobile reception strength started half previous decreased near zero would rate refurbish poor quality give less star
1.0 out of 5 stars,not truly unlocked went several carriers none able activate phone sending back
1.0 out of 5 stars,st verizon tech tried new sim cards would not work put sim card iphone activated not supposed to nd unknown apps europe netherlands constantly trying download went am shut down charged am would not screen shots verizon tech tried put safe mode  would not work could  on cost time verizon store hrs time redownloading apps ring tones company showed  reviews favorable scam additional cost zagg screen saver  protective case also time face kept rocking military time wierd giving bogus local temp outside showing ordered wireless charger phone  tried save some long run ordered new verizon
4.0 out of 5 stars,love phone unfortunately first one sent defective  calls finally got hands one works properly i'm love never thought i'd happy leave apple definitely am
2.0 out of 5 stars,update rebooting times system update finally able use fingerprint sensor unlock phone not frustration think may fixed problem i would give company zero stars could received put sim keep getting notification unauthorized actions detected this cannot use many apps including fingerprint security samsung’s health app restarted avail factory reset didn’t work still get message piece know what sending back full refund unfortunately company probably send defective next person orders one buys beware
5.0 out of 5 stars,worth bought dealfisher great battery strong one two minor scratches suggest thing hardly used trouble getting switched existing verizon service last thing note package included charger without extras that's fine me happy got good one
1.0 out of 5 stars,great overall battery isn't dieing purchased thinking great deal since refurbished however battery life horrible dies like hours need get battery replacement now performance good nice camera i'm little salty constantly charge phone get different battery horrible feel ripped
5.0 out of 5 stars,initially looking buy new knew didn't need newest shiniest decided buy generations back debated buy used phone researched long time went back forth lot websites amazon cheapest price made happy little bit warry decided amazon choose seller carefully one good reviews high quantity reviews came defects looked brand new didn't sim card but knew wouldn't great great deal waited write review couple months make sure highly reccomend buying used phone
5.0 out of 5 stars,perfect quality flawless performance brand new galaxy lost months use decided replace refurbished using exact but brand new prior using refurbished undoubtedly confirm performs same looks feels brand new well scratches dings not even dirt dust speaker grill etc first hesitant purchase refurbished phone worries reason seller thank you
5.0 out of 5 stars,bought replace aging still working getting tired otter box life battery replacements since bought new back days smartphones free signed year contract bit sticker shock went shopping i'm retired don't need latest gadget filled cell phonei read reviews amazon found wide mix comments junk like new condition thing sold one amazon certified statement a certified refurbished product tested certified work look like new minimal signs wear party distributorcertified work look like new amazon's description means could return not completely satisfied condition party distributor kiss electronicsi live socal ordered prime day delivery surprise arrived next dayfirst impressionsi opened prime box find generic box inside opened box found phone wall charger number kiss electronics customer support that's it manual release key sim card instruction manual soon encouraged like new external condition saw appeared factory original peel plastic screen cover it plugged provided amazon marked charger find battery completely discharged found safety pin release sim card holder quickly realized old verizon sim card way big fit next day went verizon store happily supplied nano sim card asked could transfer old contact info old sim new one told not possible know sim card data transfer problem would used google advance back data first going verizon store well transferred data old fashioned way hey i'm retired caresafter getting new nano sim card installed ready try phonei turned update contacts decided check android operating system updates found currently running marshmallow updated first second rd total  different operating system updates took hours complete upgrades updated way oreo  realized must new old stock not ever operated used beforei read manufactures like samsung often many brand new phones earmarked warranty exchange programs suspect phones new phones not needed manufacture sold auction various electronic device distributors like kiss electronicsi week removing bloatware configuring way want it happy it would highly recommend anyone budget whoever doesn't need latest greatest cell market rate entire experience amazon kiss electronics
3.0 out of 5 stars,aside little rash around charging port used like new scratches issues working great far bought wife may order one nowupdate i purchased replace wife's galaxy i still using mine since bought not happy call quality hard time understanding unless speaks deliberately clearly months later realize not connected using voice option verizon phones advanced calling options not present phone spent hours vzw support samsung support avail samsung told unlocked not features verizon says must not verizon that's not available bought deal fisher supposed verizon not listed unlocked phone ultimately overly disappointed  s way better call quality hesitant replace another one amazon
1.0 out of 5 stars,not software compatible verizon cannot activated despite multiple attempts factory reset update software verizon's software tool computer cannot use new sim card verizon since sold verizon phone renders essentially useless me spending hours verizon tech support following hours time attempting reset phone i'll returning refund still phone waiting week onean enormous waste time useless devicemy options include rolling device waiting another week get new amazonthis seller switching another seller verizon either way i'm left without working device another week
1.0 out of 5 stars,suppose black received gold also built service vietnamphone says actually gu also not really samsung galaxy replica fake settings not allow voice video chat
5.0 out of 5 stars,purchased replace samsung galaxy note bricked last weekend refurbished price much better new verizon arrived plain box oem charger but one big deal works great setup breeze i've used pretty heavily past week so many new features latest os great complaints
2.0 out of 5 stars,i've samsung user since course years i've galaxy galaxy note s i'm not sure phone's status certified refurbished laggiest shortest battery life samsung i've ever had probably charge day using pm functionality right hasn't fully frozen yet even texting causes lag maybe device received though doesn't seem many people's experience
3.0 out of 5 stars,got husband problems cell's likes onefast shipping described minutes running verizonupdate died sealed battery won't charge more didn't even get year it sad
5.0 out of 5 stars,ordered this came three days took verizon within half hour way seemingly brand new phone not see difference phone sisters bought brand new verizon years ago easy affordable worked like new verizon blank generic google apps no earbuds wasn't description come charger plastic wrapping around it really great experience would again
5.0 out of 5 stars,need isn't large can't put pocket important me put zagg screen protector case bit luck last couple years cost replace refurbished anticipated spending repairs unfortunately modern phones water resistance include glues difficult remove make repair selfservice option unless one truly determined
1.0 out of 5 stars,buyer beware says verizon wireless not verizon branded phones means voicemail several key apps preinstalled verizon cannot get apps play store anywhere else
4.0 out of 5 stars,fantastic battery life works exactly needed definitely worth price not getting newest galaxy times price issue appears run slower last galaxy not frustrating amountbe prepared endless updates first starting
1.0 out of 5 stars,st verizon tech tried new sim cards would not work put sim card iphone activated not supposed to nd unknown apps europe netherlands constantly trying download went am shut down charged am would not screen shots verizon tech tried put safe mode  would not work could  on cost time verizon store hrs time redownloading apps ring tones company showed  reviews favorable scam additional cost zagg screen saver  protective case also time face kept rocking military time wierd giving bogus local temp outside showing ordered wireless charger phone  tried save some long run ordered new verizon
4.0 out of 5 stars,love phone unfortunately first one sent defective  calls finally got hands one works properly i'm love never thought i'd happy leave apple definitely am
2.0 out of 5 stars,update rebooting times system update finally able use fingerprint sensor unlock phone not frustration think may fixed problem i would give company zero stars could received put sim keep getting notification unauthorized actions detected this cannot use many apps including fingerprint security samsung’s health app restarted avail factory reset didn’t work still get message piece know what sending back full refund unfortunately company probably send defective next person orders one buys beware
5.0 out of 5 stars,worth bought dealfisher great battery strong one two minor scratches suggest thing hardly used trouble getting switched existing verizon service last thing note package included charger without extras that's fine me happy got good one
1.0 out of 5 stars,four month's owning thought decent phone turned brick listening music last night heard peculiar zip like sound music stopped knew fully charged wouldn't respond button pressing tried plugging morning effect later screen lit nothing static i'm not sure replace with new phones prohibitively expensive
5.0 out of 5 stars,decided purchase wife the year iphone crapped sign water saw mine since wedding day reliability functionality decided get refurbished amazon since don't make anymore loves it although there's learning curve coming iphone works great battery life like new running bases boys ground
5.0 out of 5 stars,sad husband fatally crunched relatively new to us samsung galaxy cell right ordered new case it thrilled kiss electronics could replace refurbished reasonable price restored features old life good thanks kiss
5.0 out of 5 stars,upgrade me really like phone easy use battery life wonderful my old wouldn't hold charge throughout day anymore price great considering looking phones threetofive hundred dollars similar old samsung phone easy figure newer features
3.0 out of 5 stars,friends phone even running factory installed apps battery life terrible compared theirs ended buying replacement oversized battery opening replacing it kind pain that's life buy refurbished stuff guess
3.0 out of 5 stars,refurbished battery overheating problem found refurbished phones issue lot
3.0 out of 5 stars,not notified device rooted whole reason sticking samsung use samsung pass pay not even bother inquiring full functionality samsung
2.0 out of 5 stars,wedeliverwireless came damaged small cracks screen area plug charge paint around scratched off purchased sikksound great job came flawless conditionedit longer works due moisture detected unable charge
2.0 out of 5 stars,received poorly placed screen protector dust stuck it upon peeling found screen scuffed home button worn completely scratched disappointing especially considering shipping took week
4.0 out of 5 stars,scuffs scratches refurbished big surprise completely dead put charger started charge less minute charging box made really weird noise popped stopped working went came back itself guess problem charger i've problems since started using old charging box
5.0 out of 5 stars,i've ordered number used cell phones send back ones prime mobility always held outlasted others great amazing condition everything synched right away putting sim in battery life good well always prime mobility storefront first
5.0 out of 5 stars,refurbished looks new upgraded speed much better along gb colors crisp love push home button twice feature takes directly camera great phone
5.0 out of 5 stars,seems work pretty well using months hasnt slowing breaking far comes charger adapters kind knock off works fine course not good original fast charging adapter nice apply hard plastic screen protecter since ever slight crack screen pretty unnoticeable using remove protector since made touch screen less sensitive barely activate button also overtime battery may drain alil faster try restart every week turn battery saving home lessen problem overall good price works well
5.0 out of 5 stars,bought week ago far impressed it came rather fast sooner expected took box looked brand new scratches obvious imperfections started right screen looked perfect overall i'm impressed would greatly consider buying another ths company future
5.0 out of 5 stars,box almost like new needed get sim card diamond wireless everything works like new functionality works expected great overall great product even though couple models old performs admirably comparison newer phones
5.0 out of 5 stars,arrived perfect conditioncouldn't tell difference refurbished newset breeze would buy again
2.0 out of 5 stars,managed get old switched problem believe touch screen not right randomly shows i'm clicking over send random gibberish opens crazy apps tried powering can't touch power button since touch screen shows i'm touching randomly screen extremely slow glitchy apps start flashing close can't type text hit spots multiple areas tack letters not really typed last night battery sitting night stand charging hours
5.0 out of 5 stars,can't really afford phones page need unlocked phones highest could afford looks like new fast activated fine page plus i've week addicted comparing i'm happy purchase
5.0 out of 5 stars,much fiscally sound purchase galaxy carrier reservations refurbished worried carrier would give trouble got activated everything fine 
5.0 out of 5 stars,little concerned ordering online great experience arrived timely looks brand new no wear tear all battery much better note miss camera note still good quality pictures actually like smaller size  fits pants pocket much easier deal daily basis
5.0 out of 5 stars,problems always look ratings refurbisher order from refurbished performed like new fraction cost new phone
3.0 out of 5 stars,constantly dropped signal never able call sometimes texts would workreturned itbought buysprythey helpful couldn't get another time went someone elsealso thumb button scratchedthe awesome though love photos takes
1.0 out of 5 stars,mobilespee said verizon wireless not would not hold charge would not update verizon representative tried install information kept shutting couldn't get anything it guess never know junk buy sellers dishonest
5.0 out of 5 stars,firsttime used buyer here read lot reviews buying refurbished galaxy negative took chance anyway i'm one week purchase far i'm pleased indications isn't brand new there's bit dustcrud charging port aftermarket charger vs samsungbranded charger otherwise seems perfect condition several software updates back back don't think that's unusual
5.0 out of 5 stars,worth every penny screen wasn't scratched looks like brand new like new features  upgraded difference
5.0 out of 5 stars,refurbished samsung galaxy came flawless and inserting consumer cellular sim card gig storage learning new phone amazing things and takes cool photo's videos voice command
5.0 out of 5 stars,arrived time excellent condition installed separatelypurchased verizon sim contacted verizon activation assistance running less minutes later also add battery works though replaced case free signs wear excellent value
5.0 out of 5 stars,i'm honestly blown away phone ordered expecting worst despite great reviews zero issues weeks got it thing questioned fact system updates got caught everything great looks performs brand new phone
4.0 out of 5 stars,screen near excellent condition one miniscule scratch look for back expected wear cheap case real concern whoever obviously hadn't heard gently plugging something paint scratched several areas around charge port area overall though refurb less half paid model new last year not shabby
5.0 out of 5 stars,came time came prime condition absolutely excellent began using every day even made life work far easier counts steps samsung health helping stay healthier great choice great smart phone
1.0 out of 5 stars,months since bought phone already charger port finnicky pain add charge battery low never overnight isn't held specific angle not charge bought verizon directly
5.0 out of 5 stars,signs wear witness marks previous owner's case scratch home button button fingerprint reader work fine screen perfect battery seems pretty good processor pretty quick verizon store get nano sim card existing sim card didn't fit this free painless perfect buy aren't cool spending newest smartphone
1.0 out of 5 stars,advertised verizon actually delivered u wifi calling voicemail notifications have dial find voicemail
2.0 out of 5 stars,something wrong phone doesn't always charge doesnt always fast charging mode nice wish fixed definitely willing give higher rate company reach fix it
5.0 out of 5 stars,wife needed upgrade not want need latest greatest perfect solution half price verizon wanted charge easy setup transfer old phone happy
1.0 out of 5 stars,tried activate verizon turns device list lost stolen phones therefore not eligible activated minutes running battery become increasingly hot
2.0 out of 5 stars,battery life like samsung froze times within first week product returned however company worked well we'd use again
3.0 out of 5 stars,banner says purchased however returned micro usb charging slot held usb loosely not charge consistently car situation moved wireless charging not want rely soley wireless charging otherwise worked fine
1.0 out of 5 stars,second mistake purchased making things mistake before purchased another amazon seller hoping successful experience again came att symbol back uh oh dinged worse condition first purchased took verizon store put plan didn't work not work verizon line tried help sincerely success
5.0 out of 5 stars,like phone looks brand new functions battery life great initially concerned buying refurbished phone couldn't happier mine came cell surfers reasonable price
3.0 out of 5 stars,says verizon originally took verizon store activate transfer couldnt get working ended buying giving deal galaxy plus
5.0 out of 5 stars,looks functions like new fraction cost verizon don't see issues battery life either colleagues seem inclined empty wallets sheer joy spending gadgets sheepishly started asking amazon link this
5.0 out of 5 stars,arrived quickly exactly promised works well
5.0 out of 5 stars,product arrived great condition scuff marks around micro usb port almost unnoticible looks like brand new phonei upgraded note change sim card smaller format replacing older something aware of verizon changed sim card free wasn't issueat first felt tiny compared note adjusted days happy purchase
4.0 out of 5 stars,i've months battery definitely showing age day default setting overnight not using all drain hours writing drain hours that everything perfect condition
2.0 out of 5 stars,camera whole reason bought phone stopped working right return period ended i've months already need replace it not stoked
5.0 out of 5 stars,arrive great shape works great
4.0 out of 5 stars,came good condition crack bottom part back camera doesn't affect doesn't affect water resistancy camera far i'm pretty happy it i'll need time adjust size button placement differences previously moto
3.0 out of 5 stars,able tip use carrier works verizon slightly disappointed don't like verizon
2.0 out of 5 stars,overall nice good features however arrived screen scratched back marks too battery life good lasts full day
5.0 out of 5 stars,arrived excellent condition gift someone else didn't even know wasn't new pleased
2.0 out of 5 stars,bought certified refurbished battery life box terrible standby battery life hours normal mode power saving mode little better still not good enough way equivalent new phone supposed days standby time  hours usage time
5.0 out of 5 stars,looks works brand new phone half price activated immediately verizon works exactly should
5.0 out of 5 stars,looks works like new phone much better spending new phone
5.0 out of 5 stars,appears new came genuine samsung fast charger arrived expected beautiful fast really like nougat saved ton money
3.0 out of 5 stars,not clear wont get tools needed install sim card mirco card also not loaded like get verizon works great need load features come one buy verizon
5.0 out of 5 stars,works well happy purchase
5.0 out of 5 stars,bought yo son able operate straight box issues since
4.0 out of 5 stars,dials
1.0 out of 5 stars,disappointed well mad amazon ashamed sale garbage purchased replace phone took version not read sim card told definitely not verizon phone mad trained new phone
5.0 out of 5 stars,looks works like new love it  generations behind saves big bucks
1.0 out of 5 stars,say felt robbed purchase took get sim card verizon informed imei number flagged either stolen account held nonpayment subsequently following imei number cannot connected
5.0 out of 5 stars,working great activated verizon
4.0 out of 5 stars,ordered gv planning possibly unlock it arrived pleasantly suprised find actually gu unlocking completely unnecessary bonus although refurbished seems good new gripe lack blaster i'll keeping around control odd devices don't remote laserdisc ced vcr
5.0 out of 5 stars,i'm always leery buying something used that's electronic not disappointed looks like new works great
4.0 out of 5 stars,far good seems work wellbattery seems warm little usage disappointed stickers back sim card key not included risk refurbished appearance perfect otherwise far
3.0 out of 5 stars,showed good condition slight signs wear think whole refurbished thing might bit joke carry good guarantee easy return amazon not satisfied battery mine little week unfortunately
5.0 out of 5 stars,bit aprehensive ordering refurbished sight unseen say everything described bit more
1.0 out of 5 stars,return not working tech support started helpful bounced around several different people became mess would not register letters properly typed couldn't access phone
5.0 out of 5 stars,bought gift someone mexico works well small cosmetic damage corner nothing worry came generic box without headphones still satisfied purchase
5.0 out of 5 stars,haven’t use tech support yet great signs damage tiny bit wear around charging port all battery great amount life left it easily whole day vigorous use still power left
5.0 out of 5 stars,impressed refurbished phone basically impossible tell not brand new phone works fine
5.0 out of 5 stars,came advertised time
1.0 out of 5 stars,samsung arrived defective speaker busted nothing static noise disappointed
5.0 out of 5 stars,took chants paid off like bran new worked like bran new read reviews ordered
1.0 out of 5 stars,bought these horrible battery life didn't realize bad replaced first one new one new
1.0 out of 5 stars,good condition sim card wouldn't read verizon card useless
1.0 out of 5 stars,won't turn straight package goes galaxy attached charger time cuts back off don't know talk too removed back check parts missing back plate cracked removal not sure still return not not even sure direct questions too
2.0 out of 5 stars,bought issues it got new one sent issues fixed may best different rather struggle issues too battery drain quickly late shipping low quality screen burned imagesthe new one works fine process strugglesomething keep mind likely won't warranty samsung good luck
5.0 out of 5 stars,exactly works perfectly
5.0 out of 5 stars,using year works great first got deep scratches home button one cosmetic flaw everything works great ive issues
5.0 out of 5 stars,arived faster expected pristine condition sim caddy ejection tool paper clip works well cam factory released firmare dozen update cycles one get oreo december security release patient keep applying updates not infinite loop
3.0 out of 5 stars,return cost  rebooted constantly trouble shooting would correct problem research suggest operating system hardware problem maybe cannot detected standard precertified protocol checks vendor accepted return pay postage got replacement vendor used prime time satisfied new phone
3.0 out of 5 stars,pros came well packaged perfect condition works great terms functionality not disappointed samsung series yetcons battery life bad gets hot downloading loses battery hour normal useeg calling whatsapp browsing thinking returning
2.0 out of 5 stars,despite receiving cracks top left corner operational would returned not stopped working feel like paid much cracked phone
3.0 out of 5 stars,revising earlier star review thought glue residue near charging port scratched previous owner putting charging cable carelessly i'm little disappointed due good price really fast shipment
1.0 out of 5 stars,description says verizon phone one received att would not work verizon told went get set closest verizon store pay return shipping waiting refund need begin search actual verizon compatible again
1.0 out of 5 stars,battery bad much refurbished unitwould last  hrsluv phonebut supplier not good received today hrs charging setup verizoni trying another unit different supplierwe shall see
4.0 out of 5 stars,big improvement older samsung phones refurbished not works looks new
2.0 out of 5 stars,everything else considered good buy however one fatal flaw right beginning first turned on immediately noticed screen burn in faint definitely noticeable
5.0 out of 5 stars,refurbished like new also really like phone i've months hasn't failed yet
5.0 out of 5 stars,purchased daughter came great condition blemishes scratches started right up took verizon matter moments new sim card running far good
3.0 out of 5 stars,not compatible verizon advertised disappointed warned may not work
4.0 out of 5 stars,bought replace galaxy  far good concern embedded battery fine now
5.0 out of 5 stars,extremely sceptical buying refurbished phone buying refurbished samsunge galexys husband never buy brand new phones again works good new issues months dropped multiple times still works perfect definately glad took chance buying phone love it
5.0 out of 5 stars,like reviews say great battery life fast lot conveniences didnt
4.0 out of 5 stars,bought year old son buying reburbished google pixel another website ended returning couldn't get wifi work it pleased phone great middle school boy price right shipped fast battery stays charged long time well
1.0 out of 5 stars,received bad battery top screen cracked disappointed standards allowed amazon
5.0 out of 5 stars,received samsung galaxy timely manner spotless except minor scratches bottom button shouldn't anything effects functionality installed sim card i'm running smoothly
1.0 out of 5 stars,verizon tech could not get activate tried new sims returnexchange process now
1.0 out of 5 stars,started giving problems right warranty ran out sent fixed it however got back brand new problem refused fix time warranty run out sent several emails finally requested contacted supervisor never happened would not buy again
4.0 out of 5 stars,new condition however metal bezel around rear camera glass front flash home button scratched far works well
5.0 out of 5 stars,phones showed time excellent extra shatter proof glass provided free nice bonus
2.0 out of 5 stars,like much however refurbished model bought short battery life not get day also sitting car one touching look suddenly crack across front screen 
1.0 out of 5 stars,came actual due date great unfortunately activated phone would constantly restart itself tried rebooting it still restarting firm ware damaged
5.0 out of 5 stars,bad around love
5.0 out of 5 stars,love phone switched apple i'm samsung person now works great problems all bought husband one shortly got mine excellent phones happy
5.0 out of 5 stars,everything need do
1.0 out of 5 stars,bought july overheating battery doesn’t work
1.0 out of 5 stars,microphone doesn't work researched found common problem
5.0 out of 5 stars,arrived promised excellent condition came charger works great easy activate verizon sim card
1.0 out of 5 stars,received phone would not charge ran really slow disappointed
5.0 out of 5 stars,love it
5.0 out of 5 stars,love phone looks brand new arrived time hate battery doesn't last long
5.0 out of 5 stars,happy purchase speedy delivery hitches start up everything worked expected friendly personnel kiss electronics easy deal with
3.0 out of 5 stars,seems problem speaker charger not compatible phone
2.0 out of 5 stars,message email notifications don't work keeps downloading update won't complete install bad buy
4.0 out of 5 stars,arrived time works really well far looks like new happy it problem came iphone charger instead correct charger
5.0 out of 5 stars,everything working well transfer data sim card easy galaxy
5.0 out of 5 stars,love new galaxy love camera quality pictures takes that's reason bought shipping fast got days problems easy set problems
5.0 out of 5 stars,great condition
5.0 out of 5 stars,worth right now
5.0 out of 5 stars,arrived packaged covered bubble wrap charger cable superficial invisible scratch screen virtually perfect condition refurbished items getting better better days
1.0 out of 5 stars,wrote email requesting return label item defective never heard back number listed not charge want refunded
5.0 out of 5 stars,far good wife loves it
4.0 out of 5 stars,samsung galaxy great phone not latest galaxy means much better replaced with
1.0 out of 5 stars,bought may it august stthe longer works open screen cannot get homepage not offer warranty goes right trash
1.0 out of 5 stars,not unlocked allowing verizon sim cards not carrier
1.0 out of 5 stars,not buy tech venture not verizon phones can’t activated waste time
5.0 out of 5 stars,works
5.0 out of 5 stars,using months first month wanted update  times day guess caught needed be overall working
5.0 out of 5 stars,decided try reconditioned phone turn excellent choice hard tell isn't new highly recommend
5.0 out of 5 stars,great
5.0 out of 5 stars,great money
5.0 out of 5 stars,love think battery life short think configuration conclusion excellent time expected 
5.0 out of 5 stars,let sit charge little while worked perfect after close ans detailed inspection absolutely damage anywhere fast sleek like brand new phone
5.0 out of 5 stars,perfect good
5.0 out of 5 stars,arrived right time looks like brand new working great
5.0 out of 5 stars,product came looking like new everything seems working wonderfully verizon issues went set up i'm loving samsung
3.0 out of 5 stars,battery life kinda bad scratches corners big scratch fingerprint sensor overall works good camera too
5.0 out of 5 stars,cool
4.0 out of 5 stars,arrived time activated without issue audio sounds tinny compared working unit not refurbished good price
5.0 out of 5 stars,purchased mom loves phone great buy money defects
4.0 out of 5 stars,bought present sister longer annoys
5.0 out of 5 stars,looks brand new refurbished love
4.0 out of 5 stars,problem connectivity inside metal structures coworkers difficulty reception dropped calls also i'm experiencing improved wifi reception previous phone
5.0 out of 5 stars,good
5.0 out of 5 stars,seems good new love it
1.0 out of 5 stars,charging port not function well upon arrival literally hold charger charger port force charge product not functional since cannot charge not purchase
4.0 out of 5 stars,technical marvel far issue battery life literally see battery drain minute maybe since refurbished battery older expected don't know
5.0 out of 5 stars,works exactly advertised
1.0 out of 5 stars,not unlock
5.0 out of 5 stars,although not date great phone battery life long functions impeccably
5.0 out of 5 stars,like brand new
5.0 out of 5 stars,received worked almost perfectly good shape issue fingerprint scanner i've yet fix if even fixed that's issue i've come upon otherwise fully functional worth price
1.0 out of 5 stars,disappointed phone battery life poor doubt make month
5.0 out of 5 stars,feels like brand new galaxy even though refurbished
5.0 out of 5 stars,better edge least find protective case works one edgethe edge unprotected broke dropped edge
5.0 out of 5 stars,arrived perfect condition glad bought it first smartphone knew battery would need replaced
5.0 out of 5 stars,love phone recieved time
1.0 out of 5 stars,not described not unlocked called company times never answer return call leaving several voicemails
1.0 out of 5 stars,opened instantly saw missing back cover tried turn screen wouldn't work by screen mean screen turning could see doing touch screen still working though
1.0 out of 5 stars,give stars boyfriend couldn’t connect verizon verizon’s blacklist stolen phone line disconnected get hold amazon get refund doesn’t phone ugh
1.0 out of 5 stars,couldn't use can't recognize sim card
1.0 out of 5 stars,ended taking verzion set told even verizon sim card not able use verizon network
1.0 out of 5 stars,ordered phone package arrived box generic charger
5.0 out of 5 stars,like new love it
