commentaires,notes
bought september absolutely loved it pushed update oreo months ago caused longer allow bluetooth control streaming services vehicles head unit waited fix looked online tried everything factory resets changing developer mode settings updating firmware head unit contacting pandora's tech support samsung's solution send my active phone in wait week two send refurbished one guarantee fix issue yep send purchased new without two weeks they'll send back 'refurbished' potentially scratched screen poor battery likely not fix issue since clearly software problem used swear samsung longer recommend samsung anyone based not working properly time i've owned it currently following samsung devices galaxy s s s gear gear nano samsung refrigerator curved tv say know much enjoyed samsung past release update breaks something expectation buy new one i've given months fix broke oreo update done it trouble though pushing new phone thanks items stop working make sure avoid samsung,1.0 out of 5 stars
samsung galaxy shipped model number smgf international version phone not version specified itemi recently got lines dead pixels samsung refuses pay international version not warranty coverage promised item,1.0 out of 5 stars
like unlocked activated tmobile work fine day unlimited datatalk texted second day got notice notification screen needed verizon sim card the became useless talk text reboot notice start verizon start screen peers locked unlocked advertised,1.0 out of 5 stars
skeptical buying amazon instead verizon reviews half good half bad far activating verizon network advice dont store activate website takes minutes make sure verizon nano sim card able use one iphone transfer contacts music etc app well easy actual great sleek looking phone  verizon try sell payment plan would much rather pay cheaper amazon price keep bill lower  fence like hope review help out,5.0 out of 5 stars
review coming long time apple user years drink koolaid decided make changeupgrading apple ecosystem isn't easy big change incredible may not flagship still greatcamera megapixel camera clear bright not take best low light pictures good not better flagship daylight camera shines excellentscreen samsung always best quality smartphone screens infinity display something get used super sampled display different colors bright vibrant display set factory defaults display crystal clear watching videos photos blow mind compare comparable smartphonesdesign infinity display glad back elegant design allowing great features one not greatfeatures features flagships fingerprint scanner face unlock iris scanner thing placement fingerprint scanner less desirable location right next camera lens easy smudge reaching it face unlock reliable extremely fast optionsdue glass back wireless charging alongside samsung's fast charging system allows easy fast charging anywherehardware snapdragon gigs ram may not latest greatest multitasking everyday tasks seemless gaming also fast smooth razor note capableall great smartphone defintly worth consideration can't stomach phone,5.0 out of 5 stars
support ended screen seems begun hardware issue horizontal lines begun appearing looks hardware issue pretty disappointed amazon support not last longer considering i've seen multiple posts online issue drops water issues phone looks like amoled screens become defective certain time potentially note contact samsung this require send back problem not another use time buyer beware,1.0 out of 5 stars
honestly astounded beautiful advance is coming iphone truly upgrade worth getting pricefirstly screen absolutely best get market right now beautiful  quad hd super amoled resolution makes colors contrast blacks vivid pure pure black pixels turned aren't needed gives amazing black color helps bit battery not needing display extra pixels screen also employs samsung's infinity display creates nearly bezelless design front screen gives provide information screen removed physical buttons really noticeable minutes feature come use quite bit with widgets fast opening certain apps edge glad they've introduced edge screen onto regular series don't prefer it also turn off samsung also added always display shows date time along notifications receive doesn't consume hardly battery life with losing around hoursoftware box runs android nougat also come samsung's 'controversial' touchwiz skin however they've greatly improved experience fluidity software not noticed lag using time now responsive personally enjoy look it always download different launchers liking users able get andriod oreo within early next monthhardware sports along microsd slot expandable storage ram really happy amount ram space that's offered iphone i've always load pages due low ram along disappointing space gb usable limited using old daily news chat apps hardly able play many games definitely not issue i've downloaded many things previously couldn't still beast amount storage left also certified dust water resistantcharging love adaptive fast charge samsung offers products charges quickly without getting hot battery capacity mah fast hours around hours screen time going around hours general happy regular charging seems quite dated premium phonecamera camera truly beautiful detailed surprised much using it photos clear crisp one snap selfies also detailed great look at af front dual pixel af rearsecurity employs two different biometrics unlocking along regular numberline password one we've known time fingerprint scanner to moved right next camera not preferable location hit camera often new iris scanner iris scanner quite convenient though bit close and light workvoice command samsung added new 'bixby' line used similarly amazon's alexa apple's siri google's assistant dedicated button left side allows bixby hear voice questionscommand button also open bixby home shows news events personal widgets bixby 'levels' right increase levels gained bixby using helping feedback doesn't lock behind level requirements use full allows customization unlocks controversial feature far as many find unnecessary though fairly enjoying it really use screenshots don't prefer it apps redirect bixby button use appsoverall experience astounding wouldn't trade anything else really feel premium years come holding out don't wait experience unlike othernote covered broad specs however also smaller details view samsung's homepage want specs information,5.0 out of 5 stars
read reviews needed waterproof phone i've days far still getting used makes noises different times told it appears bed around want enter plans tomorrow now something effect today little creepy me supposed phones communication devices not creeper tracking youi truly believe prices smartphones insane stupid over one iphones run close enough  times changing need stay connected little devicesthe camera works really well takes nice sharp photos bit challenge transfer contacts non samsung one export contacts micro card old put new  took short time bring info new phone,3.0 out of 5 stars
first thinking am nuts spending bucks phone well sanity not withstanding happy new phonei use tracfone account cheap maintain year nice not locked specific carrierand functionality great like biometric features dex functionality bonus didn't even know time bought it built device maintenance means don't run app bombards ads clean phones osthe badsamsung bixby don't problem everyone trying come digital assistant software optional not forced order disable phone first agree license not happy agree let someone house order able tell get outsamsung pay cannot hold walletsamsung health stop shoving advertising facebut that love phone,5.0 out of 5 stars
verizon could not activate not usa version took precautions purchasing case screen protector placed protector box return all waste time money sell usa united arab scam buyer beware,1.0 out of 5 stars
great phone good touchscreen response great camera ect etc would perfect packaged right one don't live freaking europe samsung fail not amazon box listed model smgu usa version inside factory sealed smgf international version imei number even matched could error possibly happen cost half day dealing verizon trying figure problem waspissed,1.0 out of 5 stars
bought two cellphones wife cellphone still working great cellphone software problem since beginning everytime tried update software showed error last week installed samsung smart switch back files showed option could update software app took blue screen cellphone useless doesnt accept emergency software recovery option try get warranty,1.0 out of 5 stars
supposed unlocked compatible cellulardata programs offered by among major providers verizon well wasn't finally took verizon store told simply not compatible verizon frustrating obvious answer best course action provider brick mortar store in case verizon buy there whatever difference price is any offset time hassle saved ugh,1.0 out of 5 stars
ordered device harvey ongoing slight delay inevitable due inclement weather arrived within time frame amazon notified me delaysthe device grouped case screen protector ordered convenient packaging secure expected device price rangeoverall brilliant sharp display clear camera images af runs apps like breeze well suited heavy multitasking bezelless display joy look reading comfortable also ships usb c c adapters helps transition usb type plugsthe battery life amazing sharp bright display also considering hardware mah battery offers enough juice entire day light usage heavy use like watching movies playing games like real racing etc drains faster expected demanding appsthe issue fingerprint sensor close camera real first days using daily driver tend figure doesn't pose much bother unless deliberately want smudge camera lensi would highly recommend device anyone moderately high budget looks amazing performs much better looks would also recommend get protector case the rear side fingerprint magnet wouldn't want crack amazing display screen protector second thoughts would say it,5.0 out of 5 stars
mounth buyingterrible purchase regret never buy samsung device life battery life worst ever needs charge times daycharging port doesn't work phone charged wireless chargerphone heats chargingphone slow since day one use galaxy  edge honest feels like downgrade stay away samsung's customer service not willing anything make send without giving loan device use meantime doesn't make sensemy suggestion samsung learn apple,1.0 out of 5 stars
buy new amazon fyinow know quality product nothing amazon rating obviously product specificallyi even noticed someone problem didit completely died owning months not anything add micro card which allowed device worked fine ever since bought ithowever amazons warranty not great samsung offer year manufacturers warranty new items csr customer support representative helpful straight forward ship them email paid shipping label print place sides box excluding shipping time maintenance processing take business days obviously one deal first place want helpful review someone bad situation happen like did samsung's csr  follow menu prompts get option speak csr it get annoying waiting options get there,2.0 out of 5 stars
warranty listed not valid received phone tried register samsung website received error message possible reasons error include serialimei number not valid product older years product purchased outside uscontacted amazon replacement sent out attempted register it problem spending hour samsung customer service per number warranty listing not warranty available,1.0 out of 5 stars
disappointed purchase us warrantysince opened box came vertical marks edges light marks noticeable screen offi passed issue two days ago screen glass broke botton edge without apparent reasoni took authorized shop change glass attendant told international version don’t warranty us really disappointed phonedon’t know amazon let type products sold site,1.0 out of 5 stars
good i'm really glad got spending verizon phone there's less garbage carrier and things tried install inserted sim card able uninstalled battery life pretty crazy even without power saver mode turned on lasts day switch power saver mode won't use hardly power unless screen turned on curved screen doesn't cause issues touch screen using onehanded positively gorgeous people actually ask have camera super fast takes amazing picturesthe bad bixby not cracked opinion sure cool stuff time not helpful additionally there's really quick perceptible wait microphone turn hold button down also tend push button or gets pushed going pocket accident reason type microphone key keyboard voice dictation refuses use google voice recognition engine not really slick won't fall hand put screen nightstand there's coating something screen actually let slowly slide around because table isn't level,4.0 out of 5 stars
samsung phone came att instruction bookthe description stated unlocked notthe came default language dutch use google translate could get setthe use g not availabledo not purchase expecting version amazon prevent fraudulent vendors like selling site,1.0 out of 5 stars
read review make decisioni purchased seller around months only never dropped device never done physical damage device never done anything operating system using cellphone fun suddenly shows problem device storage corruptedtherefore considering device still oneyear warranty seller states product description contacted samsung service sent repair however samsung repair center told motherboard device replaced therefore warranty not sure seller explanation thisif not suspect seller done something device not buy anything seller not warranty problem samsung would say not official sellers won't responsible it,1.0 out of 5 stars
bought september absolutely loved it pushed update oreo months ago caused longer allow bluetooth control streaming services vehicles head unit waited fix looked online tried everything factory resets changing developer mode settings updating firmware head unit contacting pandora's tech support samsung's solution send my active phone in wait week two send refurbished one guarantee fix issue yep send purchased new without two weeks they'll send back 'refurbished' potentially scratched screen poor battery likely not fix issue since clearly software problem used swear samsung longer recommend samsung anyone based not working properly time i've owned it currently following samsung devices galaxy s s s gear gear nano samsung refrigerator curved tv say know much enjoyed samsung past release update breaks something expectation buy new one i've given months fix broke oreo update done it trouble though pushing new phone thanks items stop working make sure avoid samsung,1.0 out of 5 stars
samsung galaxy shipped model number smgf international version phone not version specified itemi recently got lines dead pixels samsung refuses pay international version not warranty coverage promised item,1.0 out of 5 stars
like unlocked activated tmobile work fine day unlimited datatalk texted second day got notice notification screen needed verizon sim card the became useless talk text reboot notice start verizon start screen peers locked unlocked advertised,1.0 out of 5 stars
skeptical buying amazon instead verizon reviews half good half bad far activating verizon network advice dont store activate website takes minutes make sure verizon nano sim card able use one iphone transfer contacts music etc app well easy actual great sleek looking phone  verizon try sell payment plan would much rather pay cheaper amazon price keep bill lower  fence like hope review help out,5.0 out of 5 stars
review coming long time apple user years drink koolaid decided make changeupgrading apple ecosystem isn't easy big change incredible may not flagship still greatcamera megapixel camera clear bright not take best low light pictures good not better flagship daylight camera shines excellentscreen samsung always best quality smartphone screens infinity display something get used super sampled display different colors bright vibrant display set factory defaults display crystal clear watching videos photos blow mind compare comparable smartphonesdesign infinity display glad back elegant design allowing great features one not greatfeatures features flagships fingerprint scanner face unlock iris scanner thing placement fingerprint scanner less desirable location right next camera lens easy smudge reaching it face unlock reliable extremely fast optionsdue glass back wireless charging alongside samsung's fast charging system allows easy fast charging anywherehardware snapdragon gigs ram may not latest greatest multitasking everyday tasks seemless gaming also fast smooth razor note capableall great smartphone defintly worth consideration can't stomach phone,5.0 out of 5 stars
support ended screen seems begun hardware issue horizontal lines begun appearing looks hardware issue pretty disappointed amazon support not last longer considering i've seen multiple posts online issue drops water issues phone looks like amoled screens become defective certain time potentially note contact samsung this require send back problem not another use time buyer beware,1.0 out of 5 stars
honestly astounded beautiful advance is coming iphone truly upgrade worth getting pricefirstly screen absolutely best get market right now beautiful  quad hd super amoled resolution makes colors contrast blacks vivid pure pure black pixels turned aren't needed gives amazing black color helps bit battery not needing display extra pixels screen also employs samsung's infinity display creates nearly bezelless design front screen gives provide information screen removed physical buttons really noticeable minutes feature come use quite bit with widgets fast opening certain apps edge glad they've introduced edge screen onto regular series don't prefer it also turn off samsung also added always display shows date time along notifications receive doesn't consume hardly battery life with losing around hoursoftware box runs android nougat also come samsung's 'controversial' touchwiz skin however they've greatly improved experience fluidity software not noticed lag using time now responsive personally enjoy look it always download different launchers liking users able get andriod oreo within early next monthhardware sports along microsd slot expandable storage ram really happy amount ram space that's offered iphone i've always load pages due low ram along disappointing space gb usable limited using old daily news chat apps hardly able play many games definitely not issue i've downloaded many things previously couldn't still beast amount storage left also certified dust water resistantcharging love adaptive fast charge samsung offers products charges quickly without getting hot battery capacity mah fast hours around hours screen time going around hours general happy regular charging seems quite dated premium phonecamera camera truly beautiful detailed surprised much using it photos clear crisp one snap selfies also detailed great look at af front dual pixel af rearsecurity employs two different biometrics unlocking along regular numberline password one we've known time fingerprint scanner to moved right next camera not preferable location hit camera often new iris scanner iris scanner quite convenient though bit close and light workvoice command samsung added new 'bixby' line used similarly amazon's alexa apple's siri google's assistant dedicated button left side allows bixby hear voice questionscommand button also open bixby home shows news events personal widgets bixby 'levels' right increase levels gained bixby using helping feedback doesn't lock behind level requirements use full allows customization unlocks controversial feature far as many find unnecessary though fairly enjoying it really use screenshots don't prefer it apps redirect bixby button use appsoverall experience astounding wouldn't trade anything else really feel premium years come holding out don't wait experience unlike othernote covered broad specs however also smaller details view samsung's homepage want specs information,5.0 out of 5 stars
model smg sold fulfilled amazoni bought amazon directly beware negative reviews shopsso far love phone arrived clearly brand new box never touched also came samsung headphones inside box even though option selected 'phone only' lightning fast camera incredible easy transition old galaxy tmobile get microsim activated phone never issue compatibility tmobile overall service coverage actually improved minimal amount preinstalled apps nice won't slow unnecessary bloatware completely satisfied purchase update anything changes,5.0 out of 5 stars
less months call volume longer works numerous hours authorized service center determined manufacturers defect customer support samsung not helpful send back samsung repaired although warranty samsung support refused provide loaner told wait weeks repaired,1.0 out of 5 stars
started show age about years old battery needed constantly charged day hunt new began reading bunch reviews going various forums decided samsung s iphone hated it so not optioni've year couldn't happier unlocked version better buy getting carrier samsung sends updates immediately carrier lot slower rolling latest updates one reasons not getting carrier lack bloatware carriers like add phones unlocked still good battery life three days without charging phone heavy usage go two days charges,5.0 out of 5 stars
wifey's applehead  i'm team samsung  debate continues recently upgraded iphone red special edition  'nice'  received new galaxy s instantaneously reminded style quality excellence samsung deliver not even close fyi  purchased verizon prepaid sim card suggested addon amazon adding cart verizon sim card 'verizon wireless sim kit prepaid sim card moto verizon branded phone' attempted activate sim card verizon wireless website activation would not complete verizon claimed needed 'samsung' sim car kit however wife completed activation steps accompanied sim card kit the instructions packaging  activation completed flawlessly,5.0 out of 5 stars
rated good warehouse deals arrived factory box looked like never opened plastic still screen found scratches imperfections carrier sprint truly unlocked carriersthey hooked minutes clerk asked bought new samsung directly told unlocked version would work internationally tooi couple weeks performed flawlessly another great buy amazon fence like upgrading ahead buy one here awesome phone great much better trust this go ahead buy it amazed too,5.0 out of 5 stars
ordered device harvey ongoing slight delay inevitable due inclement weather arrived within time frame amazon notified me delaysthe device grouped case screen protector ordered convenient packaging secure expected device price rangeoverall brilliant sharp display clear camera images af runs apps like breeze well suited heavy multitasking bezelless display joy look reading comfortable also ships usb c c adapters helps transition usb type plugsthe battery life amazing sharp bright display also considering hardware mah battery offers enough juice entire day light usage heavy use like watching movies playing games like real racing etc drains faster expected demanding appsthe issue fingerprint sensor close camera real first days using daily driver tend figure doesn't pose much bother unless deliberately want smudge camera lensi would highly recommend device anyone moderately high budget looks amazing performs much better looks would also recommend get protector case the rear side fingerprint magnet wouldn't want crack amazing display screen protector second thoughts would say it,5.0 out of 5 stars
mounth buyingterrible purchase regret never buy samsung device life battery life worst ever needs charge times daycharging port doesn't work phone charged wireless chargerphone heats chargingphone slow since day one use galaxy  edge honest feels like downgrade stay away samsung's customer service not willing anything make send without giving loan device use meantime doesn't make sensemy suggestion samsung learn apple,1.0 out of 5 stars
lot love handful things i'm not crazy about picture quality sound quality storage great bixby button sucks location button terrible i'm constantly hitting accident bixby take screen dont use bixby can't figure turn option of that's even possible another thing dont care easy move apps folders around screen seems like least week look appsfolders different place idea happened lastly switched iphone seems like cell service which didnt change way worse lots calls going straight voicemail without ever ringing never issue iphone overall i'm pleased battery life amazing kicks iphone's booty sure memory space amazing again kicking booty wouldnt back,4.0 out of 5 stars
disappointed purchase purchase august longer turns november year,1.0 out of 5 stars
dope looks cool feels cool people dont like finger print scanner located dont really mind got used day thats me one best phones i've had really fast customize everythingone thing would like point out wich havent seen reviewer talk about put sim card inside dint activate lte service did grab another sim card carrier copy phones vpn setting worked meid recomend buying case prone droping phones like am friend  months without case not droped once wouldnt take chanceedit added pictures vpn manually copy information another cell hope helpspsmy friend dropped days ago lol buy case,5.0 out of 5 stars
samsung device receives me issue almost every apple iphone mostly weak cell receptions always frustrated call quality apps crashing also last iphone owned battery would always drain around not problems phenomenal performance slowdown switching apps video call quality top notch color calibration app resolution video games microsoft apps whatever throw it without difficulty call quality audio cell reception quite excellent mobile service worrying speed would drop lte  not drop lte speeds know many people complain ratio doesn't bother me want use pictures desktop adjust ratio camera app almost every app fitted screen ratio streaming videos double tap screen zoom fit feature makes video streaming enjoyable complain akg ear phones comes with ear buds not good bass ended using samsung ear buds instead factory unlocked version definitely worth price no carrier bloatware it yes  no bloatware,5.0 out of 5 stars
ive loved samsung phones except one freezes software issue gets super hot extremely expensive replace glass becaus charge alot iphone  ,1.0 out of 5 stars
great phone first unlocked we've ever bought great move great not perfectprosexcellent performance apps snappybeautiful screen though delicatelight great battery lifecons slippery wherever touchgrab it hard hold onto unless get case probably should bixby assistant obtrusive even dedicated hard button left mistakenly hitting often you sign samsung set button nothing can't seem reassign button useful completely get rid bixby edge screen design novelty difficult use standard screen find try multiple times get right thing selected finger wrapping edges screen doesn't seem widget flashlight built in like,4.0 out of 5 stars
ended going hospital unable make return date february rd nothing problems phone unlocked joke voice problems problems not properly connecting carrier glitches speaker system etc diverts back prepaid credit card status cannot make outgoing incoming calls i've tried different sim cards hours worth tech support get working extremely disappointed try work amazon little bit resolve issue,1.0 out of 5 stars
really like phone upgraded comparatively ancient note got last week battery life lasts bit two days using normally always on screen feature fancylooking power saving modes reduce phone's functionality significantly longer battery life tested yet though hasn't necessary i'm sad see pen go wasn't worth spending another note i'm impressed much smoother screen looks feels camera also pretty reasonable lowlight situations pretty questionable seems decent job camera fares much better bright indoor lights outsidethe feels pretty light bit slick due much glass used construction nicelooking phone dropped old one living cracked screen two years took zero chances put otterbox defender case almost immediatelythe software also quite nice there's carrier bloatware don't spend half hour trying uninstall disable apps never use still comes basic apps need samsung clearly put lot effort overall aesthetics interface too overall complaintsmy carrier verizon relatively painless get set them went one locations not thirdparty retailer gave sim card free alone texted code parents called via landline store could read me punching terminal verizon employee took care rest recommend using google verizon's cloud backup software like samsung kies get contacts getting new phone forgot walked around two days getting texts disembodied numbers worked own set backups now old phone's screen completely broken hence new phone reason able get contacts pen digitizer still functioning but nothing else could blindly punch pin unlock phone,5.0 out of 5 stars
several months nowthis great specs not fail regard also contains many features expected flagship phones waterproofing wireless chargingwith said concerns initially purchasing coming nexus p updates including upgrades new versions android nonstock experience including many samsung apps already installed single bottom firing speakerwith said first issue still concern updates slow especially considering previous already latest version android huge disappointment likely prevent purchasing another samsung againthe second issue less concern me many samsung apps add additional functionality not found stock android usable worth giving trythe third issue still issue people able enable stereo functionality require rooting phone speaker loud stereo audio sounds much better,3.0 out of 5 stars
around good phone fast clean well thought user interface literal life saver secret serviced hollow point meant femuri'll elaboratewhile shooting range negligent discharge round impacted left thigh fortunately kept galaxy front left pocket took round me bullet went trough case smashed back dented deformed metal plate deflected back case came rest bottom pants pocketi'd post pictures but well didn't make it i've using samsung phones years issues one saved life probably likely keep using them,5.0 out of 5 stars
won't call text even though says connected try hour workthe window returns way short something costs sure hope don't need call replace it galaxy won't help replace don't think i'll ever buy anything form again,1.0 out of 5 stars
apple user longest time decided try samsung product loved phone thought functioned lot better iphone had month issues all stopped working never dropped anything blue stopped working went bought different charges about chargers find none chargers worked turn on luckily samsung upfront solving issue phone since bought month ago warranty received new yet still determined handle warranty assuming send another one everything smooth ill customer futureoverall good phone make sure take care assuming breaks you make sure honor warranty,2.0 out of 5 stars
purchased mid fast shipping product looked legit no issues months keyboard started burn screen not factory screen everyone know store bought phones not issue hesitant order amazon figured not  well notbuy authorized dealer,2.0 out of 5 stars
yeah things emotional response pleased phone love him wrap around edge beautiful def screen options depthi'm getting like bixby too helping open controller can't find look things web dial message calculate set timer define still exploring featurefingerprint unlocks quickly complaints location next camera guess got used faster average monkey since use holder car added print reach holder right index finger upside downiris recognition cumbersome fingers wet gloves print reader fails iris scanner helpsusing music internet radio gym belt holder bluetooth earphones nice custom sound setting headset richway way better slike feature stolen reset phone not work without unlock info don't even try steal it,5.0 out of 5 stars
went bootloop ridden lgg cheap cracked screenbad micspeaker almost years didn't really bother much started working going college that's started getting lots calls cheap ass finally decided get new phone research thing price range amazing bought soon stock not regret single moment day mostly everything didn't old phone amazing screen water resistant faster processor great software good camera apps samsung actually useful least decent bad cell company forced install bunch bad apps con doesn't ridiculously long battery life compared cheap phone tradeoff screenprocess power course anyways great price guarantee won't regret it,5.0 out of 5 stars
received amazon seller unlocked verizon phone may may not unlocked samsung claim certainly misleading leads believe receiving generic universal phone verizon cdma common carriers gsm not compatible though phones offer frequencies types put att sim card it seemed work display came verizon welcome page annoying not verizon sim card error message notification tray could force error away always came back powered phone not trust would get true gsm performance verizon might experience slow degraded performance due shortage available frequencies returned ordered true unlocked generic directly samsung cost peace mind worth it including tax shouldn't put nuisance messages new phone potentially degraded performance deceptive advertising received new ordered directly samsung today true generic without carrier software installed streamlined  seen new look like also add original review received electronic deals via amazon not new phone least previously opened missing accessories included received today also fingerprints it recommend paying extra  getting truly new universal directly samsung store,2.0 out of 5 stars
didn't anyone tell samsung galaxy life icuss wordlove phone love love love sleek beautiful smooth texting ease apps hardly know myself overwhelmed awesomeness listen me like keep things cart days weeks time indeciveness please believe methis one thing worth fast click purchase i'm sorry didn't get sooner never look back samsung fer life,5.0 out of 5 stars
nice works well using months not problems fast operates software glitches game breaking however not use bixby button annoying since old phone's unlock button button located also utilizing accidentally touching curved edges get little popups corners also really annoying lastly curved edges make extremely hard protect phone's screen due not case protects edges phone much prefer flat screen not think would huge deal breaker purchased dropping twice case it received two cracks screen one crack drop probably end replacing screen trying make due issue not happy samsung looking bit harder future manufacturers,2.0 out of 5 stars
bought supposedly new amazon arrived everything worked okay except two major issuesthe refused perform software updates mobile data despite proper settingsthe microphone not work all calls tasks require microphone render unit useless unless headset connected amazon support unhelpful samsung support also useless second purchased them first sent back screen stopped responding touch input would not buy another new them,2.0 out of 5 stars
ok i'm mediocre tech million things i'll never ask it i'm sure i'll leave reviews actual justice keep comments method purchase since like me worry price much less att so let say arrived appeared pristinely new packaging previous go att new sim card nano micro anyway didn't charge sim gotten bill don't know whether i'll activation charge would case matter purchase charging started opening transferring updating took hour think could text connect ease but incoming calls horrible sure i'd screwed up online research led rebooting immediately cleared everything up startup apparently set something off so i'm pleased purchase saved buying amazon link opposed att plan,5.0 out of 5 stars
know shouldn't surprised much nicer galaxy s good golly not difficult make transition way works similar got like intuitive little brain inside knows exactly want next love it say old dogs can't learn new tricks feel technologically capable advanced,5.0 out of 5 stars
okay lots negative reviews honestly absolutely love phone used got old switched  months missed galaxy phone decided splurge get said needs good case work around concrete floors made certain buy solid shock resistant case protection around edges also got glass screen protector paranoia works incredibly well performs level work need problems,5.0 out of 5 stars
satisfactory droid screen broke easily light impact two weeks old bummed first purchased outright get screen covers immediately case coverbixby button hold phone don't use bixby spend frequent frustrating moments accidentally turning course off nuisance good photo qualityif use page plus wifi calling option provided sim card making good connection unreliable odd verizon network know,3.0 out of 5 stars
delivered ahead schedule always exactly advertised problem smart switching info previous carrier activation sprint att seamless btw something not advertised find not allow custom sounds tagged individual contacts messaging ring tones sure messaging notifications matter messages you sound something keep mind that's important you i'm told work arounds apps download butwill modify review later anything changes,5.0 out of 5 stars
ordered black friday waiting weeks arrived didn't expect actually enjoy android based phone pleasantly surprised carrier fully supports consistently get maximum speeds city  home get gigabit wifi little weird look curved sides got used days highly recommend otterbox defender case phone like many others bit thin large hands,5.0 out of 5 stars
